SKU,productType,productName,status,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSeoTitle,pageSeoDescription
88046,COBERTOR EVEREST,COBERTOR EVEREST FRAZADA DEEP ROSE,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,deep rose,,[],[],[],[],Activa,,[],,
88051,COBERTOR EVEREST,COBERTOR EVEREST MAT XL NEBRASKA,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,nebraska,,[],[],[],[],Activa,,[],,
88054,COBERTOR EVEREST,COBERTOR EVEREST MAT XL ARIA,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,aria,,[],[],[],[],Activa,,[],,
88056,COBERTOR EVEREST,COBERTOR EVEREST KS XL ARIA,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,aria,,[],[],[],[],Activa,,[],,
88189,COBERTOR EVEREST,COBERTOR EVEREST FRAZADA PALENA,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,palena,,[],[],[],[],Activa,,[],,
88190,COBERTOR EVEREST,COBERTOR EVEREST MAT XL PALENA,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,palena,,[],[],[],[],Activa,,[],,
88192,COBERTOR EVEREST,COBERTOR EVEREST KS XL PALENA,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,palena,,[],[],[],[],Activa,,[],,
87172,COBERTOR EVEREST,COBERTOR EVEREST FRAZADA BARROW,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,barrow,,[],[],[],[],Activa,,[],,
87173,COBERTOR EVEREST,COBERTOR EVEREST MAT XL BARROW,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,barrow,,[],[],[],[],Activa,,[],,
87174,COBERTOR EVEREST,COBERTOR EVEREST KS XL BARROW,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,barrow,,[],[],[],[],Activa,,[],,
87536,EDREDÓN,EDREDÓN IND DUVET,CONT,Página 2 / Funda de Duvet,-1,[],[],[],[],[],,duvet,,[],[],[],[],Activa,,[],,
88513,EDREDÓN,EDREDÓN IND DUVET BASIC,CONT,Página 2 / Funda de Duvet,-1,[],[],[],[],[],,duvet basic,,[],[],[],[],Activa,,[],,
88042,COBERTOR AUSTRAL,COBERTOR AUSTRAL FRAZADA VERDE,CONT,Página 2 / Funda de Duvet,-1,[],[],[],[],[],,verde,,[],[],[],[],Activa,,[],,
88043,COBERTOR AUSTRAL,COBERTOR AUSTRAL MAT XL VERDE,CONT,Página 2 / Funda de Duvet,-1,[],[],[],[],[],,verde,,[],[],[],[],Activa,,[],,
88045,COBERTOR AUSTRAL,COBERTOR AUSTRAL KS XL VERDE,CONT,Página 2 / Funda de Duvet,-1,[],[],[],[],[],,verde,,[],[],[],[],Activa,,[],,
87280,COBERTOR AUSTRAL,COBERTOR AUSTRAL FRAZADA ROSETA,CONT,Página 2 / Funda de Duvet,-1,[],[],[],[],[],,roseta,,[],[],[],[],Activa,,[],,
87193,COBERTOR AUSTRAL,COBERTOR AUSTRAL MAT XL ROSETA,CONT,Página 2 / Funda de Duvet,-1,[],[],[],[],[],,roseta,,[],[],[],[],Activa,,[],,
87194,COBERTOR AUSTRAL,COBERTOR AUSTRAL KS XL ROSETA,CONT,Página 2 / Funda de Duvet,-1,[],[],[],[],[],,roseta,,[],[],[],[],Activa,,[],,
54384,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL ALASKA,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,invernal alaska,,[],[],[],[],Activa,,[],,
54385,COBERTOR INVERNAL,COBERTOR INVERNAL KS/QS XL ALASKA,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,invernal alaska,,[],[],[],[],Activa,,[],,
54997,COBERTOR INVERNAL,COBERTOR INVERNAL QS/MAT XL ALASKA,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,invernal alaska,,[],[],[],[],Activa,,[],,
52277,COBERTOR INVERNAL,COBERTOR INVERNAL KS/QS XL HOJARASCA,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,invernal hojarasca,,[],[],[],[],Activa,,[],,
52279,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL HOJARASCA,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,invernal hojarasca,,[],[],[],[],Activa,,[],,
52595,COBERTOR INVERNAL,COBERTOR INVERNAL KS/QS XL ÁRTICO,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,invernal ártico,,[],[],[],[],Activa,,[],,
