SKU,productType,productName,status,productSection,productOrder,pageTemplate,pageTitle,pageResources,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageCopys,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSubtitle,pageSeoTitle,pageSeoDescription
89063,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL JURASICO,NVO,Página 4 / Cobertores Invernales,5,CobertorInvernal,Jurasico,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
88970,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL CHIC,NVO,Página 4 / Cobertores Invernales,6,CobertorInvernal,Chic,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
89029,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL AMBER,NVO,Página 4 / Cobertores Invernales,7,CobertorInvernal,Amber,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
89023,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL JADE,NVO,Página 4 / Cobertores Invernales,8,CobertorInvernal,Jade,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
89026,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL PINK DREAM,NVO,Página 4 / Cobertores Invernales,9,CobertorInvernal,Pink Dream,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
54384,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL ALASKA,CONT,Página 4 / Cobertores Invernales,10,CobertorInvernal,Alaska,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
54997,COBERTOR INVERNAL,COBERTOR INVERNAL QS/MAT XL ALASKA,CONT,Página 4 / Cobertores Invernales,11,CobertorInvernal,Alaska,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
52279,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL HOJARASCA,CONT,Página 4 / Cobertores Invernales,12,CobertorInvernal,Hojarasca,[],['88776'],[],['88503'],['88572'],[],[],[],[],Activa,,[],Cobertor Invernal,,
52597,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL ÁRTICO,CONT,Página 4 / Cobertores Invernales,13,CobertorInvernal,Ártico,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
87179,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL HIMALAYA,CONT,Página 4 / Cobertores Invernales,14,CobertorInvernal,Himalaya,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
