productName,SKU,productType,productSection,pageTemplate,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageIcons,pageSeoTitle,pageSeoDescription
Edredón Mat Roseta,86598,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,27,['88494'],['87546'],[],[''],[],Roseta,Juego de Edredón,[],['#ebe1db'],[],[],Activa,[],,
Edredón Mat Chicago,86103,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,28,['23649'],['64115'],[],[''],[],Chicago,Juego de Edredón,[],['#b9babc'],[],[],Activa,[],,
Edredón Qs/Mat Xl Ferrara,84611,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,29,['23649' '24058'],['63961'],[],['88243'],['87823'],Ferrara,Juego de Edredón,[],['#edeae8'],[],[],Activa,[],,
Edredón Mat Xl Dilar,84921,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,30,['23649'],['63930'],['86618'],['87500'],['77556'],Dilar,Juego de Edredón,[],['#ededea'],[],[],Activa,[],,
Edredón Nuut Mat Peony,88744,Edredón Nuut,Página 2 / Edredones Nuut,EdredonNuut,1,['88494'],['63930'],['88811'],['88794' '88587' '88588'],[],Peony,Edredón Nuut,[],['#c2867e' '#dab9aa' '#ffffff' '#ffdfc5'],[],[],Activa,[],,
Edredón Nuut Mat Celeste,88748,Edredón Nuut,Página 2 / Edredones Nuut,EdredonNuut,2,['88634'],['88414'],['88571' '88753' '88541'],['88501' '87500' '87800'],['87823'],Celeste,Edredón Nuut,[],['#4c7f86' '#9bbec1' '#ffffff' '#c0d2ad'],[],[],Activa,[],,
Edredón Nuut Mat Stone,88512,Edredón Nuut,Página 2 / Edredones Nuut,EdredonNuut,3,['23649' '24146'],['63961' '64136'],['88485'],['88586' '36689' '87500'],['87823' '88176'],Stone,Edredón Nuut,[],['#b9a291' '#656979' '#ffffff' '#e9e4e3'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Salvia,88709,Funda De Duvet,Página 2 / Edredones Nuut,JuegoDeEdredon,4,['88634'],['88530'],[],[],[],Salvia,Funda de Duvet,[],['#ececeb'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Valencia,87811,Funda De Duvet,Página 2 / Edredones Nuut,JuegoDeEdredon,5,['24058'],['63961'],['88477'],['88243' '36689'],[],Valencia,Funda de Duvet,[],['#b9b8b9'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Atlantic,88701,Funda De Duvet,Página 2 / Edredones Nuut,JuegoDeEdredon,6,['23649'],['87836'],['87247' '36254'],['87500'],[],Atlantic,Funda de Duvet,[],['#e2e0e1'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Deco,87537,Funda De Duvet,Página 2 / Edredones Nuut,JuegoDeEdredon,7,['87489'],['87448'],['87515'],['87514' '87500'],['87726'],Deco,Funda de Duvet,[],['#f3efef'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Noruega,88703,Funda De Duvet,Página 2 / Edredones Nuut,JuegoDeEdredon,8,['87493'],['87835'],['88485'],['88755' '88587' '88586'],[],Noruega,Funda de Duvet,[],['#c8cccc'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Arabia,87818,Funda De Duvet,Página 2 / Edredones Nuut,JuegoDeEdredon,9,['87493'],['87863'],['88572' '86618'],['87514' '88802'],[],Arabia,Funda de Duvet,[],['#b9b7b7'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Berry,88548,Funda De Duvet,Página 2 / Edredones Nuut,JuegoDeEdredon,10,['88494'],['88457'],[],['88500'],[],Berry,Funda de Duvet,[],['#e6d5d8'],[],[],Activa,[],,
Edredón Voga Qs/Mat Xl Camel,88707,Edredón Voga,Página 3 / Edredones Voga,EdredonVoga,1,['24908'],['87835'],['87515'],['36629' '88588'],['36629'],Camel,Edredón,[],['#d5c9c1' '#fff'],[],[],Activa,[],,
Edredón Voga Qs/Mat Xl Lila,88651,Edredón Voga,Página 3 / Edredones Voga,EdredonVoga,2,['88642'],['87548'],['87515' '86618'],['88500' '88794' '88587'],['88500'],Lila,Edredón,[],['#d6cfcf' '#c6c6c6'],[],[],Activa,[],,
Edredón Voga Qs/Mat Xl Verde,86457,Edredón Voga,Página 3 / Edredones Voga,EdredonVoga,3,['87493'],['63932' '87865' '87548'],['87515' '86618'],['87251' '87500'],['87229'],Verde,Edredón,[],['#eceae8' '#e1e6cf'],[],[],Activa,[],,
Edredón Voga Qs/Mat Xl Estambul,87746,Edredón Voga,Página 3 / Edredones Voga,EdredonVoga,4,['87779'],['63932'],['86618' '88572'],['87710' '88588'],['77556'],Estambul,Edredón,[],['#e0dbd7' '#fdf7e5'],[],[],Activa,[],,
