productName,SKU,productType,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSeoDescription,pageSeoTitle
Cobertor Baby Ligero Cuna Happy,88724,Cobertor Baby Ligero,Página 2 / Cobertores,12,['88500'],['88756'],[],[],[],Cobertor,happy,cobertor baby ligero,[],['' ''],[],[],Activa,[],[],,
Cobertor Baby Ligero Cuna Conejitas,86897,Cobertor Baby Ligero,Página 2 / Cobertores,13,['88621'],['88756'],[],[],[],Cobertor,conejitas,cobertor baby ligero,[],['#e7dad2' '#d7c2b4'],[],[],Activa,[],[],,
Cobertor Baby Ligero Cuna Forest,88814,Cobertor Baby Ligero,Página 2 / Cobertores,14,['88785'],['88756'],[],[],[],Cobertor,forest,cobertor baby ligero,[],['#e4dbd5' '#d3c3b9'],[],[],Activa,[],[],,
Cobertor Baby Ligero Cuna Lila,88730,Cobertor Baby Ligero,Página 2 / Cobertores,15,['88623'],['88756'],[],[],[],Cobertor,lila,cobertor baby ligero,[],['#ece5e7' '#e0d5d7'],[],[],Activa,[],[],,
Cobertor Baby Ligero Cuna Azul,88726,Cobertor Baby Ligero,Página 2 / Cobertores,16,['87251'],['88756'],[],[],[],Cobertor,azul,cobertor baby ligero,[],['#e8e8e7' '#dad9d8'],[],[],Activa,[],[],,
Cobertor Baby Nórdico Cuna Elephant,55128,Cobertor Baby Nórdico,Página 2 / Cobertores,17,['23033'],['88756'],[],[],[],Cobertor,elephant,cobertor baby nórdico,[],['#f1f0f0' '#e8e7e6'],[],[],Activa,[],[],,
Cobertor Baby Nórdico Cuna Spring,86894,Cobertor Baby Nórdico,Página 2 / Cobertores,18,['88623'],['88756'],[],[],[],Cobertor,spring,cobertor baby nórdico,[],['#eee5e0' '#e3d4cc'],[],[],Activa,[],[],,
Cobertor Baby Nórdico Cuna Menta,88732,Cobertor Baby Nórdico,Página 2 / Cobertores,19,['87251'],['88756'],[],[],[],Cobertor,menta,cobertor baby nórdico,[],['#f2f4f2' '#eaeee9'],[],['/videos/bebe/productos/COBERTOR NORDICO MENTA VERTICAL.mp4'],Activa,[],[],,
Cobertor Baby Nórdico Cuna Iris,88734,Cobertor Baby Nórdico,Página 2 / Cobertores,20,['88219'],['88756'],[],[],[],Cobertor,iris,cobertor baby nórdico,[],['#e8e2e1' '#d9d0cd'],[],['/videos/bebe/productos/COBERTOR NORDICO IRIS VERTICAL.mp4'],Activa,[],[],,
Cobertor Baby Siberia Cuna Dinosaurios,55137,Cobertor Baby Siberia,Página 2 / Cobertores,21,['23033'],['88756'],[],[],[],Cobertor,dinosaurios,cobertor baby siberia,[],['#f8f8f8' '#f3f4f4'],[],[],Activa,[],[],,
Cobertor Baby Siberia Cuna Sweet,88720,Cobertor Baby Siberia,Página 2 / Cobertores,22,['88621'],['88756'],[],[],[],Cobertor,sweet,cobertor baby siberia,[],['#e6dfda' '#d6cac2'],[],[],Activa,[],[],,
Cobertor Baby Siberia Cuna Blue,88736,Cobertor Baby Siberia,Página 2 / Cobertores,23,['88785'],['88756'],[],[],[],Cobertor,blue,cobertor baby siberia,[],['#e7e4e0' '#d8d3cb'],[],['/videos/bebe/productos/COBERTOR SIBERIA BLUE VERTICAL.mp4'],Activa,[],[],,
Cobertor Baby Siberia Cuna Lila,88738,Cobertor Baby Siberia,Página 2 / Cobertores,24,['88500'],['88756'],[],[],[],Cobertor,lila,cobertor baby siberia,[],['#e6e0df' '#d6cbca'],[],['/videos/bebe/productos/COBERTOR SIBERIA LILA VERTICAL.mp4'],Activa,[],[],,
Cobertor Baby Siberia Cuna Nubes,86892,Cobertor Baby Siberia,Página 2 / Cobertores,25,['87252'],['88756'],[],[],[],Cobertor,nubes,cobertor baby siberia,[],['#dfd6d3' '#cbbbb6'],[],[],Activa,[],[],,
Cobertor Baby Siberia Cuna Safari,88718,Cobertor Baby Siberia,Página 2 / Cobertores,26,['23033'],['88756'],[],[],[],Cobertor,safari,cobertor baby siberia,[],['#e9eaeb' '#daddde'],[],[],Activa,[],[],,
