productName,SKU,productType,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageIcons,pageSeoTitle,pageSeoDescription
Edredón Mat Chicago,86103,Edredón,Página 1 / Juegos de Edredón,28,['23649'],['64115'],[],[''],[],JuegoDeEdredon,Chicago,Juego de Edredón,[],['#b9babc'],[],[],Activa,[],,
Edredón Qs/Mat Xl Ferrara,84611,Edredón,Página 1 / Juegos de Edredón,29,['23649' '24058'],['63961'],[],['88243'],['87823'],JuegoDeEdredon,Ferrara,Juego de Edredón,[],['#edeae8'],[],[],Activa,[],,
Edredón Mat Dilar,83921,Edredón,Página 1 / Juegos de Edredón,30,['23649'],['63930'],['86618'],['87500'],['77556'],JuegoDeEdredon,Dilar,Juego de Edredón,[],[],[],[],Activa,[],,
Edredón Nuut Mat Peony,88744,Edredón Nuut,Página 2 / Edredones Nuut,1,['88494'],['63930'],['88811'],['88794' '88587' '88588'],[],EdredonNuut,Peony,Edredón Nuut,[],['#c2867e' '#dab9aa'],[],[],Activa,[],,
Edredón Nuut Mat Celeste,88748,Edredón Nuut,Página 2 / Edredones Nuut,2,[],['88414'],['88571' '88753' '88541'],['88501' '87500' '87800'],['87823'],EdredonNuut,Celeste,Edredón Nuut,[],['#4c7f86' '#9bbec1'],[],[],Activa,[],,
Edredón Nuut Mat Stone,88512,Edredón Nuut,Página 2 / Edredones Nuut,3,['23649' '24146'],['63961' '64136'],['88485'],['88586' '36689' '87500'],['87823' '88176'],EdredonNuut,Stone,Edredón Nuut,[],['#b9a291' '#656979'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Salvia,88709,Funda De Duvet,Página 2 / Edredones Nuut,4,[],[],[],[],[],JuegoDeEdredon,Salvia,Funda de Duvet,[],['#ececeb'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Valencia,87811,Funda De Duvet,Página 2 / Edredones Nuut,5,[],['63961'],['88477'],['88243' '36689'],[],JuegoDeEdredon,Valencia,Funda de Duvet,[],['#b9b8b9'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Atlantic,88701,Funda De Duvet,Página 2 / Edredones Nuut,6,[],['87836'],['87247' '36254'],['87500'],[],JuegoDeEdredon,Atlantic,Funda de Duvet,[],['#e2e0e1'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Deco,87537,Funda De Duvet,Página 2 / Edredones Nuut,7,['87489'],['87448'],['87515'],['87514' '87500'],['87726'],JuegoDeEdredon,Deco,Funda de Duvet,[],['#f3efef'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Noruega,88703,Funda De Duvet,Página 2 / Edredones Nuut,8,['87493'],['87835'],['88485'],['88755' '88587' '88586'],[],JuegoDeEdredon,Noruega,Funda de Duvet,[],['#c8cccc'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Arabia,87819,Funda De Duvet,Página 2 / Edredones Nuut,9,['87493'],['87863'],['88572' '86618'],['87514' '88802'],[],JuegoDeEdredon,Arabia,Funda de Duvet,[],['#b9b7b7'],[],[],Activa,[],,
Funda De Duvet Qs/Mat Xl Berry,88548,Funda De Duvet,Página 2 / Edredones Nuut,10,['88494'],['88457'],[],['88500'],[],JuegoDeEdredon,Berry,Funda de Duvet,[],['#e6d5d8'],[],[],Activa,[],,
Edredón Voga Qs/Mat Xl Camel,88707,Edredón Voga,Página 3 / Edredones Voga,1,[],[],['87515'],['36629' '88588'],[],EdredonVoga,Camel,Edredón,[],['#d5c9c1'],[],[],Activa,[],,
Edredón Voga Qs/Mat Xl Lila,88651,Edredón Voga,Página 3 / Edredones Voga,2,['88642'],['87548'],['87515' '86618'],['88500' '88794' '88587'],[],EdredonVoga,Lila,Edredón,[],['#d6cfcf'],[],[],Activa,[],,
Edredón Voga Qs/Mat Xl Verde,86457,Edredón Voga,Página 3 / Edredones Voga,3,['87493'],['63932' '87865' '87548'],['87515' '86618'],['87251' '87500'],['87229'],EdredonVoga,Verde,Edredón,[],['#eceae8'],[],[],Activa,[],,
Edredón Voga Qs/Mat Xl Estambul,87746,Edredón Voga,Página 3 / Edredones Voga,4,['87779'],['63932'],['86618' '88572'],['87710' '88588'],['77556'],EdredonVoga,Estambul,Edredón,[],['#e0dbd7'],[],[],Activa,[],,
Edredón Voga Qs/Mat Xl Esmeralda,86256,Edredón Voga,Página 3 / Edredones Voga,5,['24908'],['63932'],['88572' '88618'],['86786' '36629' '88762'],['42624' '77556'],EdredonVoga,Esmeralda,Edredón,[],[],[],[],Activa,[],,
Edredón Novo Mat Comitán,88686,Edredón Novo,Página 4 / Edredones Novo,1,['88559'],['63961'],['88753' '88485' '88541'],['88586' '88574'],['87823'],EdredonNovo,Comitán,Edredón Novo,[],['#dee1e0'],[],[],Activa,[],,
Edredón Novo Mat Arena,88677,Edredón Novo,Página 4 / Edredones Novo,2,[],['63932' '87865'],['88503' '88477'],['88802' '88588' '88794' '88755'],[],EdredonNovo,Arena,Edredón Novo,[],['#f1f1f1'],[],[],Activa,[],,
Edredón Novo Mat Terracota,88680,Edredón Novo,Página 4 / Edredones Novo,3,['87493'],['88649'],['88572' '86618'],['88784' '88802'],['87823'],EdredonNovo,Terracota,Edredón Novo,[],['#ead4cb'],[],[],Activa,[],,
