SKU,productType,productName,status,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSeoTitle,pageSeoDescription
87470,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL DINOSAURIOS,CONT,Página 5 / Cobertores Ligeros,-1,[],[],[],[],[],,Dinosaurios,,[],[],[],[],Activa,,[],,
87696,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL HARRY POTTER,CONT,Página 5 / Cobertores Ligeros,-1,[],[],[],[],[],,Harry Potter,,[],[],[],[],Activa,,[],,
88091,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL TORONTO,CONT,Página 5 / Cobertores Ligeros,-1,[],[],[],[],[],,Toronto,,[],[],[],[],Activa,,[],,
88097,COBERTOR LIGERO,COBERTOR LIGERO FRAZADA WINTER,CONT,Página 5 / Cobertores Ligeros,-1,[],[],[],[],[],,Winter,,[],[],[],[],Activa,,[],,
88146,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL LILA,CONT,Página 5 / Cobertores Ligeros,-1,[],[],[],[],[],,Lila,,[],[],[],[],Activa,,[],,
88670,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL NAVY,CONT,Página 5 / Cobertores Ligeros,-1,[],[],[],[],[],,Navy,,[],[],[],[],Activa,,[],,
88437,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL LOVE,CONT,Página 5 / Cobertores Ligeros,-1,[],[],[],[],[],,Love,,[],[],[],[],Activa,,[],,
88440,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL CELESTE,CONT,Página 5 / Cobertores Ligeros,-1,[],[],[],[],[],,Celeste,,[],[],[],[],Activa,,[],,
88400,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL BATMAN,CONT,Página 5 / Cobertores Ligeros,-1,[],[],[],[],[],,Batman,,[],[],[],[],Activa,,[],,
88544,COBERTOR LIGERO,COBERTOR LIGERO MAT/IND XL PLAYSTATION,CONT,Página 5 / Cobertores Ligeros,-1,[],[],[],[],[],,Playstation,,[],[],[],[],Activa,,[],,
88231,COBERTOR EVEREST,COBERTOR EVEREST FRAZADA GANTE,CONT,Página 6 / Frazadas,-1,[],[],[],[],[],,Gante,,[],[],[],[],Activa,,[],,
88585,COBERTOR DECORATIVO,MUMBAI MENTA FRAZADA,CONT,Página 6 / Frazadas,-1,[],[],[],[],[],,Mumbai Menta,,[],[],[],[],Activa,,[],,
87823,COBERTOR DECORATIVO,MUMBAI GRIS NEUTRAL FRAZADA,CONT,Página 6 / Frazadas,-1,[],[],[],[],[],,Mumbai Gris Neutral,,[],[],[],[],Activa,,[],,
87824,COBERTOR DECORATIVO,MUMBAI SIENA FRAZADA,CONT,Página 6 / Frazadas,-1,[],[],[],[],[],,Mumbai Siena,,[],[],[],[],Activa,,[],,
77556,COBERTOR DECORATIVO,MUMBAI BEIGE FRAZADA,CONT,Página 6 / Frazadas,-1,[],[],[],[],[],,Mumbai Beige,,[],[],[],[],Activa,,[],,
88215,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA EUROPEA EVEREST PALENA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Everest Palena,,[],[],[],[],Activa,,[],,
88216,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA EUROPEA EVEREST NEBRASKA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Everest Nebraska,,[],[],[],[],Activa,,[],,
87247,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA EUROPEA XL EVEREST BARROW,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Everest Barrow,,[],[],[],[],Activa,,[],,
88485,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA EUROPEA GRIS NEUTRAL,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Gris Neutral,,[],[],[],[],Activa,,[],,
88571,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA EUROPEA WAFFLE TURQUESA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Waffle Turquesa,,[],[],[],[],Activa,,[],,
88572,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA EUROPEA WAFFLE INCIENSO,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Waffle Incienso,,[],[],[],[],Activa,,[],,
88811,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA EUROPEA VOGA PEONY,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Voga Peony,,[],[],[],[],Activa,,[],,
88810,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA KS VOGA PEONY,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Voga Peony,,[],[],[],[],Activa,,[],,
88809,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA STD VOGA PEONY,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Voga Peony,,[],[],[],[],Activa,,[],,
86618,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA EUROPEA VOGA PERLA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Voga Perla,,[],[],[],[],Activa,,[],,
88503,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA STD VOGA PERLA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Voga Perla,,[],[],[],[],Activa,,[],,
88502,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA KS VOGA PERLA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Voga Perla,,[],[],[],[],Activa,,[],,
87515,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA EUROPEA VELVET LILA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Lila,,[],[],[],[],Activa,,[],,
88541,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA EUROPEA VELVET MINT,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Mint,,[],[],[],[],Activa,,[],,
88483,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA STD VELVET MINT,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Mint,,[],[],[],[],Activa,,[],,
88484,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA KS VELVET MINT,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Mint,,[],[],[],[],Activa,,[],,
36254,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA STD VELVET GRIS,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Gris,,[],[],[],[],Activa,,[],,
88222,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA STD ALPES GREIGE,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Alpes Greige,,[],[],[],[],Activa,,[],,
36070,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA STD ALPES ROSA MATURA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Alpes Rosa Matura,,[],[],[],[],Activa,,[],,
36059,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA STD ALPES AZUL,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Alpes Azul,,[],[],[],[],Activa,,[],,
35820,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA STD ALPES GRIS,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Alpes Gris,,[],[],[],[],Activa,,[],,
88217,COJÍN,COJÍN CUADRADO EVEREST DEEP ROSE,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Cuadrado Everest Deep Rose,,[],[],[],[],Activa,,[],,
88218,COJÍN,COJÍN CUADRADO EVEREST ARIA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Cuadrado Everest Aria,,[],[],[],[],Activa,,[],,
88219,COJÍN,COJÍN CUADRADO EVEREST PALENA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Cuadrado Everest Palena,,[],[],[],[],Activa,,[],,
87251,COJÍN,COJÍN EVEREST BARROW,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Barrow,,[],[],[],[],Activa,,[],,
88516,COJÍN,COJÍN ESTAÑO,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Estaño,,[],[],[],[],Activa,,[],,
88755,COJÍN,COJÍN ARENA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Arena,,[],[],[],[],Activa,,[],,
88794,COJÍN,COJÍN ADANA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Adana,,[],[],[],[],Activa,,[],,
88802,COJINES,COJINES TRENTO,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Trento,,[],[],[],[],Activa,,[],,
37658,COJÍN,COJÍN XL XBOX,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Xbox,,[],[],[],[],Activa,,[],,
36288,COJÍN,COJÍN XL PS5,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Ps5,,[],[],[],[],Activa,,[],,
88451,COJÍN,COJÍN HARRY POTTER,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Harry Potter,,[],[],[],[],Activa,,[],,
88453,COJÍN,COJÍN XL HARRY POTTER,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Harry Potter,,[],[],[],[],Activa,,[],,
36630,COJÍN,COJÍN REX,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Rex,,[],[],[],[],Activa,,[],,
88261,FUNDA DE COJÍN,FUNDA DE COJÍN CUADRADO GANTE,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Cuadrado Gante,,[],[],[],[],Activa,,[],,
86786,FUNDA DE COJÍN,FUNDA DE COJÍN CRETA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Creta,,[],[],[],[],Activa,,[],,
88542,FUNDA DE COJÍN,FUNDA DE COJÍN VELVET MINT,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Mint,,[],[],[],[],Activa,,[],,
36647,FUNDA DE COJÍN,FUNDA DE COJÍN VELVET MOSTAZA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Mostaza,,[],[],[],[],Activa,,[],,
36688,FUNDA DE COJÍN,FUNDA DE COJÍN VELVET AZUL,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Azul,,[],[],[],[],Activa,,[],,
36689,FUNDA DE COJÍN,FUNDA DE COJÍN VELVET GRIS,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Gris,,[],[],[],[],Activa,,[],,
87655,FUNDA DE COJÍN,FUNDA DE COJÍN VELVET LILA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Lila,,[],[],[],[],Activa,,[],,
87500,FUNDA DE COJÍN,FUNDA DE COJÍN MÉRIDA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Mérida,,[],[],[],[],Activa,,[],,
36629,FUNDA DE COJÍN,FUNDA DE COJÍN RECTANGULAR MUMBAI BEIGE,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Rectangular Mumbai Beige,,[],[],[],[],Activa,,[],,
88586,FUNDA DE COJÍN,FUNDA DE COJÍN RECTANGULAR MUMBAI GRAY,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Rectangular Mumbai Gray,,[],[],[],[],Activa,,[],,
88588,FUNDA DE COJÍN,FUNDA DE COJÍN RECTANGULAR MUMBAI SAND,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Rectangular Mumbai Sand,,[],[],[],[],Activa,,[],,
88587,FUNDA DE COJÍN,FUNDA DE COJÍN CUADRADO MUMBAI MACRAME,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Cuadrado Mumbai Macrame,,[],[],[],[],Activa,,[],,
88573,FUNDA DE COJÍN,FUNDA DE COJÍN WAFFLE INCIENSO,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Waffle Incienso,,[],[],[],[],Activa,,[],,
88574,FUNDA DE COJÍN,FUNDA DE COJÍN WAFFLE TURQUESA,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Waffle Turquesa,,[],[],[],[],Activa,,[],,
35989,RELLENO DE COJÍN,RELLENO DE COJÍN RECTANGULAR BASIC,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Cojín Rectangular Basic,,[],[],[],[],Activa,,[],,
24990,RELLENO DE COJÍN,RELLENO DE COJÍN CUADRADO PLUS,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Cojín Cuadrado Plus,,[],[],[],[],Activa,,[],,
35937,RELLENO DE COJÍN,RELLENO DE COJÍN CUADRADO BASIC,CONT,Página 7 / Complementos,-1,[],[],[],[],[],,Cojín Cuadrado Basic,,[],[],[],[],Activa,,[],,
24924,FUNDA DE ALMOHADA,FUNDA DE ALMOHADA LACTANCIA ALPES GRIS,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Lactancia Alpes Gris,,[],[],[],[],Activa,,[],,
23706,SÁBANAS SIBERIA,SÁBANAS SIBERIA IND ALPES GRIS,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Alpes Gris,,[],[],[],[],Activa,,[],,
23707,SÁBANAS SIBERIA,SÁBANAS SIBERIA MAT ALPES GRIS,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Alpes Gris,,[],[],[],[],Activa,,[],,
23708,SÁBANAS SIBERIA,SÁBANAS SIBERIA KS ALPES GRIS,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Alpes Gris,,[],[],[],[],Activa,,[],,
