SKU,productType,productName,status,productSection,productOrder,pageTemplate,pageTitle,pageResources,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageCopys,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSubtitle,pageSeoTitle,pageSeoDescription
88730,COBERTOR BABY LIGERO,COBERTOR BABY LIGERO CUNA LILA,NVO,Página 17 / Bebé,5,Cobertor,lila,['#c8c3c0' '#a49b97'],['88623'],['88756'],[],[],[],[],[],[],Activa,,[],cobertor baby ligero,,
88726,COBERTOR BABY LIGERO,COBERTOR BABY LIGERO CUNA AZUL,NVO,Página 17 / Bebé,7,Cobertor,azul,['#e7dad2' '#d7c2b4'],['87251'],['88756'],[],[],[],[],[],[],Activa,,[],cobertor baby ligero,,
88728,COBERTOR BABY LIGERO,COBERTOR BABY LIGERO CUNA DINOS,NVO,Página 17 / Bebé,9,Cobertor,dinos,['#f1f0f0' '#e8e7e6'],['23033'],['88756'],[],[],[],[],[],['/videos/bebe/productos/COBERTOR DINOS VERTICAL.mp4'],Activa,,[],cobertor baby ligero,,
88812,COBERTOR BABY LIGERO,COBERTOR BABY LIGERO CUNA FLORENCIA,NVO,Página 17 / Bebé,11,Cobertor,florencia,['#eee5e0' '#e3d4cc'],['88226'],['88756'],[],[],[],[],[],['/videos/bebe/productos/COBERTOR FLORENCIA VERTICAL.mp4'],Activa,,[],cobertor baby ligero,,
88722,COBERTOR BABY LIGERO,COBERTOR BABY LIGERO CARRIOLA BALLENITA,NVO,Página 17 / Bebé,13,Cobertor,ballenita,['#f0edea' '#e7e1dd'],['88625'],['88756'],[],[],[],[],[],[],Activa,,[],cobertor baby ligero,,
88723,COBERTOR BABY LIGERO,COBERTOR BABY LIGERO CARRIOLA JIRAFITA,NVO,Página 17 / Bebé,14,Cobertor,jirafita,['#f8f8f8' '#f3f4f4'],['88787'],['88756'],[],[],[],[],[],[],Activa,,[],cobertor baby ligero,,
55118,COBERTOR BABY LIGERO,COBERTOR BABY LIGERO CARRIOLA PELOTAS,CONT,Página 17 / Bebé,15,Cobertor,pelotas,['#dfd6d3' '#cbbbb6'],['23033'],['88756'],[],[],[],[],[],[],Activa,,[],cobertor baby ligero,,
87822,COBERTOR BABY LIGERO,COBERTOR BABY LIGERO CARRIOLA SWEET DINO,CONT,Página 17 / Bebé,16,Cobertor,sweet dino,['#cfcfd1' '#b0b0b2'],['88621'],['88756'],[],[],[],[],[],[],Activa,,[],cobertor baby ligero,,
52544,COBERTOR BABY LIGERO,COBERTOR BABY LIGERO CUNA FRIENDS,CONT,Página 17 / Bebé,18,Cobertor,friends,['#c8c3c0' '#a49b97'],['23033'],['88756'],[],[],[],[],[],[],Activa,,[],cobertor baby ligero,,
86897,COBERTOR BABY LIGERO,COBERTOR BABY LIGERO CUNA CONEJITAS,CONT,Página 17 / Bebé,19,Cobertor,conejitas,['#e7dad2' '#d7c2b4'],['88621'],['88756'],[],[],[],[],[],[],Activa,,[],cobertor baby ligero,,
88797,COBIJA BABY VOGA,COBIJA BABY VOGA CARRIOLA ROSA,NVO,Página 17 / Bebé,21,Cobertor,rosa,['#dbcec8' '#c3aea3'],['88623'],['88756'],[],[],[],[],[],[],Activa,,[],cobija baby voga,,
88798,COBIJA BABY VOGA,COBIJA BABY VOGA CARRIOLA AZUL,NVO,Página 17 / Bebé,22,Cobertor,azul,['#dadbdd' '#c1c3c7'],['88785'],['88756'],[],[],[],[],[],[],Activa,,[],cobija baby voga,,
88732,COBERTOR BABY NÓRDICO,COBERTOR BABY NÓRDICO CUNA MENTA,NVO,Página 17 / Bebé,23,Cobertor,menta,['#f2f4f2' '#eaeee9'],['87251'],['88756'],[],[],[],[],[],['/videos/bebe/productos/COBERTOR NORDICO MENTA VERTICAL.mp4'],Activa,,[],cobertor baby nórdico,,
88734,COBERTOR BABY NÓRDICO,COBERTOR BABY NÓRDICO CUNA IRIS,NVO,Página 17 / Bebé,25,Cobertor,iris,['#e8e2e1' '#d9d0cd'],['88219'],['88756'],[],[],[],[],[],['/videos/bebe/productos/COBERTOR NORDICO IRIS VERTICAL.mp4'],Activa,,[],cobertor baby nórdico,,
55128,COBERTOR BABY NÓRDICO,COBERTOR BABY NÓRDICO CUNA ELEPHANT,CONT,Página 17 / Bebé,27,Cobertor,elephant,['#f1f0f0' '#e8e7e6'],['23033'],['88756'],[],[],[],[],[],[],Activa,,[],cobertor baby nórdico,,
86894,COBERTOR BABY NÓRDICO,COBERTOR BABY NÓRDICO CUNA SPRING,CONT,Página 17 / Bebé,29,Cobertor,spring,['#eee5e0' '#e3d4cc'],['88623'],['88756'],[],[],[],[],[],[],Activa,,[],cobertor baby nórdico,,
